"Título","CNPJ","ENDEREÇO","MUNICÍPIO / UF","UNIDADE","INSC. MUNICIPAL","INSC. ESTADUAL","Anexos"
"SENAI-RJ","03.848.688/0014-77","Travessa Arthur Goulart, 124 - Centro - CEP: 25.070-235","Duque de Caxias / RJ","Senai Duque de Caxias","7707763","Isento","1"
"SENAI-RJ","03.848.688/0015-58","Rua Sarquis José Sarquis, 156 - Jardim Jalisco - CEP: 27.510-100","Resende / RJ","Senai Resende","03.8093.0165","Isento","1"
"SENAI-RJ","03.848.688/0016-39","Rua São Francisco Xavier, 601- Maracanã - CEP: 20.550-011","Rio de Janeiro / RJ","IST Solda","0.096.588-0","Isento","1"
"SENAI-RJ","03.848.688/0017-10","Alameda Etelvino Gomes, 155 - Parte - Macaé - CEP: 27.937-150","Macaé / RJ","Senai Macaé","016.536-2","Isento","1"
"SENAI-RJ","03.848.688/0018-09","Avenida Lucas Evangelista de Oliveira Franco, 595 - Parte - Aterrado - CEP: 27.215-630","Volta Redonda / RJ","Senai Volta Redonda","038.581.00-0","Isento","1"
"SENAI-RJ","03.848.688/0019-81","Avenida Pastor Martin Luther King Jr., 6475 - Parte - Vicente de Carvalho - CEP: 21.371-310","Rio de Janeiro / RJ","Senai Vicente de Carvalho","0.282.515-5","Isento","1"
"SENAI-RJ","03.848.688/0020-15","Rua Mariz e Barros, 678 - Maracanã - CEP: 20.270-004","Rio de Janeiro / RJ","Unidade Administrativa","96.605-3","Isento","1"
"SENAI-RJ","03.848.688/0022-87","Rua Esteves Junior, 47 - Laranjeiras - CEP: 22.231-160","Rio de Janeiro / RJ","Senai Laranjeiras","331.124-4","Isento","1"
"SENAI-RJ","03.848.688/0026-00","Rua Alan Cardeck, s/n - Muqueca - CEP: 27.140-240","Barra do Piraí / RJ","Senai Barra  do Piraí","20497-01","Isento","1"
"SENAI-RJ","03.848.688/0027-91","Rua Osires de Paiva Souza, 1020 - Benfica - CEP: 27.600-000","Valença / RJ","Senai Valença","003.523.00-4","Isento","1"
"SENAI-RJ","03.848.688/0029-53","Rua Isaltino  Silveira, 90 - Cantagalo - CEP: 25.804-250","Três Rios / RJ","Senai Três Rios","0101014950","Isento","1"
"SENAI-RJ","03.848.688/0030-97","Rua Morais e Silva, 53 - Maracanã - CEP: 20.271-030","Rio de Janeiro / RJ","IST SENAI Ambiental","0.211.511-5","Isento","1"
"SENAI-RJ","03.848.688/0031-78","Rua Dr. Nilo Peçanha, 134 - Parte - Centro - CEP: 24.445-360","São Gonçalo / RJ","Senai São Gonçalo","87540-0","Isento","1"
"SENAI-RJ","03.848.688/0032-59","Rua Mariz e Barros, 678 - Bloco 2 - 2º andar - Tijuca - CEP: 20.270-002","Rio de Janeiro / RJ","Faculdade SENAI Rio","0.347.472-0","Isento","1"
"SENAI-RJ","03.848.688/0033-30","Rua Visconde de Uruguai, 535 - 6º andar - Parte - Centro - CEP: 24.030-073","Niterói / RJ","Senai Niterói (Centro)","122.710-7","Isento","1"
"SENAI-RJ","03.848.688/0036-82","Avenida Geremário Dantas, 940 - Pechincha - CEP: 22.743-010","Rio de Janeiro / RJ","Senai Jacarepaguá ","0.365.496-6","Isento","1"
"SENAI-RJ","03.848.688/0038-44","Rua Senador Alencar, 260 - Parte - Vasco da Gama - CEP: 20.921-430","Rio de Janeiro / RJ","Senai Senador Alencar","387.403-6","Isento","1"
"SENAI-RJ","03.848.688/0040-69","Avenida João Jazbick, 740 - Aeroporto - CEP: 28.470-000","Santo Antônio de Pádua / RJ","Senai Pádua","2003006480","Isento","1"
